waveform	Ch0		Gen	
t0	04.02.2020  15:03:26,447537		04.02.2020  15:03:26,447541	
delta t	8,000000E-6		8,000000E-6	

time[0]	Ch0	time[1]	Gen
04.02.2020  15:03:26,448177	3,231102E+0	04.02.2020  15:03:26,448181	2,381735E-2
04.02.2020  15:03:26,448185	3,247225E+0	04.02.2020  15:03:26,448189	2,188264E-2
04.02.2020  15:03:26,448193	3,266895E+0	04.02.2020  15:03:26,448197	2,027038E-2
04.02.2020  15:03:26,448201	3,283340E+0	04.02.2020  15:03:26,448205	1,801322E-2
04.02.2020  15:03:26,448209	3,296238E+0	04.02.2020  15:03:26,448213	1,672341E-2
04.02.2020  15:03:26,448217	3,310748E+0	04.02.2020  15:03:26,448221	1,511115E-2
04.02.2020  15:03:26,448225	3,329128E+0	04.02.2020  15:03:26,448229	1,349889E-2
04.02.2020  15:03:26,448233	3,345251E+0	04.02.2020  15:03:26,448237	1,156418E-2
04.02.2020  15:03:26,448241	3,361374E+0	04.02.2020  15:03:26,448245	1,124173E-2
04.02.2020  15:03:26,448249	3,379754E+0	04.02.2020  15:03:26,448253	9,951924E-3
04.02.2020  15:03:26,448257	3,394264E+0	04.02.2020  15:03:26,448261	8,984568E-3
04.02.2020  15:03:26,448265	3,411032E+0	04.02.2020  15:03:26,448269	7,694761E-3
04.02.2020  15:03:26,448273	3,423930E+0	04.02.2020  15:03:26,448277	7,049858E-3
04.02.2020  15:03:26,448281	3,443600E+0	04.02.2020  15:03:26,448285	6,404954E-3
04.02.2020  15:03:26,448289	3,459400E+0	04.02.2020  15:03:26,448293	4,792696E-3
04.02.2020  15:03:26,448297	3,473911E+0	04.02.2020  15:03:26,448301	4,470244E-3
04.02.2020  15:03:26,448305	3,491968E+0	04.02.2020  15:03:26,448309	3,825341E-3
04.02.2020  15:03:26,448313	3,507446E+0	04.02.2020  15:03:26,448317	3,180437E-3
04.02.2020  15:03:26,448321	3,522279E+0	04.02.2020  15:03:26,448325	3,180437E-3
04.02.2020  15:03:26,448329	3,535822E+0	04.02.2020  15:03:26,448333	2,857985E-3
04.02.2020  15:03:26,448337	3,555815E+0	04.02.2020  15:03:26,448341	2,535534E-3
04.02.2020  15:03:26,448345	3,568713E+0	04.02.2020  15:03:26,448349	1,890630E-3
04.02.2020  15:03:26,448353	3,585481E+0	04.02.2020  15:03:26,448357	1,890630E-3
04.02.2020  15:03:26,448361	3,599991E+0	04.02.2020  15:03:26,448365	2,213082E-3
04.02.2020  15:03:26,448369	3,620306E+0	04.02.2020  15:03:26,448373	1,890630E-3
04.02.2020  15:03:26,448377	3,634494E+0	04.02.2020  15:03:26,448381	1,568178E-3
04.02.2020  15:03:26,448385	3,649649E+0	04.02.2020  15:03:26,448389	1,245727E-3
04.02.2020  15:03:26,448393	3,669642E+0	04.02.2020  15:03:26,448397	9,232750E-4
04.02.2020  15:03:26,448401	3,683830E+0	04.02.2020  15:03:26,448405	1,890630E-3
04.02.2020  15:03:26,448409	3,698985E+0	04.02.2020  15:03:26,448413	1,568178E-3
04.02.2020  15:03:26,448417	3,714463E+0	04.02.2020  15:03:26,448421	9,232750E-4
04.02.2020  15:03:26,448425	3,731553E+0	04.02.2020  15:03:26,448429	9,232750E-4
04.02.2020  15:03:26,448433	3,748966E+0	04.02.2020  15:03:26,448437	1,245727E-3
04.02.2020  15:03:26,448441	3,760252E+0	04.02.2020  15:03:26,448445	6,008232E-4
04.02.2020  15:03:26,448449	3,778954E+0	04.02.2020  15:03:26,448453	6,008232E-4
04.02.2020  15:03:26,448457	3,798946E+0	04.02.2020  15:03:26,448461	6,008232E-4
04.02.2020  15:03:26,448465	3,809587E+0	04.02.2020  15:03:26,448469	6,008232E-4
04.02.2020  15:03:26,448473	3,823776E+0	04.02.2020  15:03:26,448477	1,568178E-3
04.02.2020  15:03:26,448481	3,845703E+0	04.02.2020  15:03:26,448485	6,008232E-4
04.02.2020  15:03:26,448489	3,859568E+0	04.02.2020  15:03:26,448493	1,245727E-3
04.02.2020  15:03:26,448497	3,875369E+0	04.02.2020  15:03:26,448501	6,008232E-4
04.02.2020  15:03:26,448505	3,887622E+0	04.02.2020  15:03:26,448509	9,232750E-4
04.02.2020  15:03:26,448513	3,907614E+0	04.02.2020  15:03:26,448517	1,245727E-3
04.02.2020  15:03:26,448521	3,923737E+0	04.02.2020  15:03:26,448525	9,232750E-4
04.02.2020  15:03:26,448529	3,936635E+0	04.02.2020  15:03:26,448533	2,783715E-4
04.02.2020  15:03:26,448537	3,956950E+0	04.02.2020  15:03:26,448541	6,008232E-4
04.02.2020  15:03:26,448545	3,972750E+0	04.02.2020  15:03:26,448549	6,008232E-4
04.02.2020  15:03:26,448553	3,987906E+0	04.02.2020  15:03:26,448557	6,008232E-4
04.02.2020  15:03:26,448561	4,001126E+0	04.02.2020  15:03:26,448565	2,783715E-4
04.02.2020  15:03:26,448569	4,022731E+0	04.02.2020  15:03:26,448573	2,783715E-4
04.02.2020  15:03:26,448577	4,036597E+0	04.02.2020  15:03:26,448581	1,245727E-3
04.02.2020  15:03:26,448585	4,051107E+0	04.02.2020  15:03:26,448589	6,008232E-4
04.02.2020  15:03:26,448593	4,066908E+0	04.02.2020  15:03:26,448597	2,783715E-4
04.02.2020  15:03:26,448601	4,084643E+0	04.02.2020  15:03:26,448605	6,008232E-4
04.02.2020  15:03:26,448609	4,101733E+0	04.02.2020  15:03:26,448613	6,008232E-4
04.02.2020  15:03:26,448617	4,113019E+0	04.02.2020  15:03:26,448621	6,008232E-4
04.02.2020  15:03:26,448625	4,132366E+0	04.02.2020  15:03:26,448629	6,008232E-4
04.02.2020  15:03:26,448633	4,149456E+0	04.02.2020  15:03:26,448637	2,783715E-4
04.02.2020  15:03:26,448641	4,165579E+0	04.02.2020  15:03:26,448645	-4,408025E-5
04.02.2020  15:03:26,448649	4,174286E+0	04.02.2020  15:03:26,448653	-4,408025E-5
04.02.2020  15:03:26,448657	4,196535E+0	04.02.2020  15:03:26,448661	-4,408025E-5
04.02.2020  15:03:26,448665	4,213625E+0	04.02.2020  15:03:26,448669	6,008232E-4
04.02.2020  15:03:26,448673	4,228781E+0	04.02.2020  15:03:26,448677	-4,408025E-5
04.02.2020  15:03:26,448681	4,245549E+0	04.02.2020  15:03:26,448685	2,783715E-4
04.02.2020  15:03:26,448689	4,260059E+0	04.02.2020  15:03:26,448693	-4,408025E-5
04.02.2020  15:03:26,448697	4,275859E+0	04.02.2020  15:03:26,448701	2,783715E-4
04.02.2020  15:03:26,448705	4,291982E+0	04.02.2020  15:03:26,448709	2,783715E-4
04.02.2020  15:03:26,448713	4,309395E+0	04.02.2020  15:03:26,448717	-4,408025E-5
04.02.2020  15:03:26,448721	4,325840E+0	04.02.2020  15:03:26,448725	-4,408025E-5
04.02.2020  15:03:26,448729	4,337449E+0	04.02.2020  15:03:26,448733	-4,408025E-5
04.02.2020  15:03:26,448737	4,353894E+0	04.02.2020  15:03:26,448741	2,783715E-4
04.02.2020  15:03:26,448745	4,372596E+0	04.02.2020  15:03:26,448749	2,783715E-4
04.02.2020  15:03:26,448753	4,384527E+0	04.02.2020  15:03:26,448757	-4,408025E-5
04.02.2020  15:03:26,448761	4,402263E+0	04.02.2020  15:03:26,448765	-4,408025E-5
04.02.2020  15:03:26,448769	4,420965E+0	04.02.2020  15:03:26,448773	-4,408025E-5
04.02.2020  15:03:26,448777	4,438055E+0	04.02.2020  15:03:26,448781	-4,408025E-5
04.02.2020  15:03:26,448785	4,450631E+0	04.02.2020  15:03:26,448789	-3,665320E-4
04.02.2020  15:03:26,448793	4,466431E+0	04.02.2020  15:03:26,448797	-4,408025E-5
04.02.2020  15:03:26,448801	4,485134E+0	04.02.2020  15:03:26,448805	-3,665320E-4
04.02.2020  15:03:26,448809	4,499000E+0	04.02.2020  15:03:26,448813	2,783715E-4
04.02.2020  15:03:26,448817	4,514155E+0	04.02.2020  15:03:26,448821	-3,665320E-4
04.02.2020  15:03:26,448825	4,533503E+0	04.02.2020  15:03:26,448829	2,783715E-4
04.02.2020  15:03:26,448833	4,549625E+0	04.02.2020  15:03:26,448837	-4,408025E-5
04.02.2020  15:03:26,448841	4,564781E+0	04.02.2020  15:03:26,448845	-4,408025E-5
04.02.2020  15:03:26,448849	4,579614E+0	04.02.2020  15:03:26,448853	-4,408025E-5
04.02.2020  15:03:26,448857	4,597349E+0	04.02.2020  15:03:26,448861	2,783715E-4
04.02.2020  15:03:26,448865	4,612827E+0	04.02.2020  15:03:26,448869	-3,665320E-4
04.02.2020  15:03:26,448873	4,627982E+0	04.02.2020  15:03:26,448877	-3,665320E-4
04.02.2020  15:03:26,448881	4,643460E+0	04.02.2020  15:03:26,448885	2,783715E-4
04.02.2020  15:03:26,448889	4,660551E+0	04.02.2020  15:03:26,448893	2,783715E-4
04.02.2020  15:03:26,448897	4,676029E+0	04.02.2020  15:03:26,448901	-4,408025E-5
04.02.2020  15:03:26,448905	4,692474E+0	04.02.2020  15:03:26,448909	-4,408025E-5
04.02.2020  15:03:26,448913	4,709564E+0	04.02.2020  15:03:26,448917	2,783715E-4
04.02.2020  15:03:26,448921	4,725365E+0	04.02.2020  15:03:26,448925	-3,665320E-4
04.02.2020  15:03:26,448929	4,739553E+0	04.02.2020  15:03:26,448933	-4,408025E-5
04.02.2020  15:03:26,448937	4,754708E+0	04.02.2020  15:03:26,448941	-3,665320E-4
04.02.2020  15:03:26,448945	4,770186E+0	04.02.2020  15:03:26,448949	-3,665320E-4
04.02.2020  15:03:26,448953	4,789534E+0	04.02.2020  15:03:26,448957	-3,665320E-4
04.02.2020  15:03:26,448961	4,804367E+0	04.02.2020  15:03:26,448965	-6,889837E-4
04.02.2020  15:03:26,448969	4,822102E+0	04.02.2020  15:03:26,448973	-4,408025E-5
